loan_id,Customer_ID,label,label_def,snapshot_date
CUS_0x10ac_2024_08_01,CUS_0x10ac,0,30dpd_6mob,2025-02-01
CUS_0x10c5_2024_08_01,CUS_0x10c5,1,30dpd_6mob,2025-02-01
CUS_0x1145_2024_08_01,CUS_0x1145,1,30dpd_6mob,2025-02-01
CUS_0x11ac_2024_08_01,CUS_0x11ac,0,30dpd_6mob,2025-02-01
CUS_0x122c_2024_08_01,CUS_0x122c,0,30dpd_6mob,2025-02-01
CUS_0x1274_2024_08_01,CUS_0x1274,1,30dpd_6mob,2025-02-01
CUS_0x1288_2024_08_01,CUS_0x1288,1,30dpd_6mob,2025-02-01
CUS_0x12cc_2024_08_01,CUS_0x12cc,1,30dpd_6mob,2025-02-01
CUS_0x1338_2024_08_01,CUS_0x1338,0,30dpd_6mob,2025-02-01
CUS_0x1370_2024_08_01,CUS_0x1370,1,30dpd_6mob,2025-02-01
CUS_0x1378_2024_08_01,CUS_0x1378,1,30dpd_6mob,2025-02-01
CUS_0x139b_2024_08_01,CUS_0x139b,0,30dpd_6mob,2025-02-01
CUS_0x13a9_2024_08_01,CUS_0x13a9,0,30dpd_6mob,2025-02-01
CUS_0x13ce_2024_08_01,CUS_0x13ce,0,30dpd_6mob,2025-02-01
CUS_0x147a_2024_08_01,CUS_0x147a,0,30dpd_6mob,2025-02-01
CUS_0x1510_2024_08_01,CUS_0x1510,1,30dpd_6mob,2025-02-01
CUS_0x1572_2024_08_01,CUS_0x1572,0,30dpd_6mob,2025-02-01
CUS_0x159b_2024_08_01,CUS_0x159b,0,30dpd_6mob,2025-02-01
CUS_0x15f1_2024_08_01,CUS_0x15f1,0,30dpd_6mob,2025-02-01
CUS_0x1621_2024_08_01,CUS_0x1621,0,30dpd_6mob,2025-02-01
CUS_0x1638_2024_08_01,CUS_0x1638,1,30dpd_6mob,2025-02-01
CUS_0x165b_2024_08_01,CUS_0x165b,1,30dpd_6mob,2025-02-01
CUS_0x1890_2024_08_01,CUS_0x1890,1,30dpd_6mob,2025-02-01
CUS_0x18f5_2024_08_01,CUS_0x18f5,0,30dpd_6mob,2025-02-01
CUS_0x1900_2024_08_01,CUS_0x1900,0,30dpd_6mob,2025-02-01
CUS_0x1947_2024_08_01,CUS_0x1947,0,30dpd_6mob,2025-02-01
CUS_0x194f_2024_08_01,CUS_0x194f,0,30dpd_6mob,2025-02-01
CUS_0x19a5_2024_08_01,CUS_0x19a5,0,30dpd_6mob,2025-02-01
CUS_0x1a06_2024_08_01,CUS_0x1a06,0,30dpd_6mob,2025-02-01
CUS_0x1a3b_2024_08_01,CUS_0x1a3b,0,30dpd_6mob,2025-02-01
CUS_0x1a57_2024_08_01,CUS_0x1a57,1,30dpd_6mob,2025-02-01
CUS_0x1a96_2024_08_01,CUS_0x1a96,0,30dpd_6mob,2025-02-01
CUS_0x1ad3_2024_08_01,CUS_0x1ad3,0,30dpd_6mob,2025-02-01
CUS_0x1bfd_2024_08_01,CUS_0x1bfd,1,30dpd_6mob,2025-02-01
CUS_0x1c2a_2024_08_01,CUS_0x1c2a,0,30dpd_6mob,2025-02-01
CUS_0x1c3a_2024_08_01,CUS_0x1c3a,0,30dpd_6mob,2025-02-01
CUS_0x1d58_2024_08_01,CUS_0x1d58,0,30dpd_6mob,2025-02-01
CUS_0x1e16_2024_08_01,CUS_0x1e16,0,30dpd_6mob,2025-02-01
CUS_0x1e3f_2024_08_01,CUS_0x1e3f,0,30dpd_6mob,2025-02-01
CUS_0x1e62_2024_08_01,CUS_0x1e62,0,30dpd_6mob,2025-02-01
CUS_0x1ed6_2024_08_01,CUS_0x1ed6,0,30dpd_6mob,2025-02-01
CUS_0x1f61_2024_08_01,CUS_0x1f61,1,30dpd_6mob,2025-02-01
CUS_0x20fa_2024_08_01,CUS_0x20fa,1,30dpd_6mob,2025-02-01
CUS_0x2194_2024_08_01,CUS_0x2194,0,30dpd_6mob,2025-02-01
CUS_0x2200_2024_08_01,CUS_0x2200,1,30dpd_6mob,2025-02-01
CUS_0x2212_2024_08_01,CUS_0x2212,1,30dpd_6mob,2025-02-01
CUS_0x225a_2024_08_01,CUS_0x225a,0,30dpd_6mob,2025-02-01
CUS_0x22b1_2024_08_01,CUS_0x22b1,0,30dpd_6mob,2025-02-01
CUS_0x22d6_2024_08_01,CUS_0x22d6,0,30dpd_6mob,2025-02-01
CUS_0x241d_2024_08_01,CUS_0x241d,1,30dpd_6mob,2025-02-01
CUS_0x242d_2024_08_01,CUS_0x242d,0,30dpd_6mob,2025-02-01
CUS_0x2449_2024_08_01,CUS_0x2449,1,30dpd_6mob,2025-02-01
CUS_0x247e_2024_08_01,CUS_0x247e,0,30dpd_6mob,2025-02-01
CUS_0x24bc_2024_08_01,CUS_0x24bc,0,30dpd_6mob,2025-02-01
CUS_0x2509_2024_08_01,CUS_0x2509,1,30dpd_6mob,2025-02-01
CUS_0x2516_2024_08_01,CUS_0x2516,0,30dpd_6mob,2025-02-01
CUS_0x2527_2024_08_01,CUS_0x2527,0,30dpd_6mob,2025-02-01
CUS_0x2562_2024_08_01,CUS_0x2562,1,30dpd_6mob,2025-02-01
CUS_0x2634_2024_08_01,CUS_0x2634,0,30dpd_6mob,2025-02-01
CUS_0x264a_2024_08_01,CUS_0x264a,0,30dpd_6mob,2025-02-01
CUS_0x268d_2024_08_01,CUS_0x268d,0,30dpd_6mob,2025-02-01
CUS_0x2692_2024_08_01,CUS_0x2692,0,30dpd_6mob,2025-02-01
CUS_0x269c_2024_08_01,CUS_0x269c,0,30dpd_6mob,2025-02-01
CUS_0x2827_2024_08_01,CUS_0x2827,0,30dpd_6mob,2025-02-01
CUS_0x2834_2024_08_01,CUS_0x2834,0,30dpd_6mob,2025-02-01
CUS_0x2869_2024_08_01,CUS_0x2869,0,30dpd_6mob,2025-02-01
CUS_0x28e2_2024_08_01,CUS_0x28e2,0,30dpd_6mob,2025-02-01
CUS_0x29bf_2024_08_01,CUS_0x29bf,0,30dpd_6mob,2025-02-01
CUS_0x29e9_2024_08_01,CUS_0x29e9,0,30dpd_6mob,2025-02-01
CUS_0x2a45_2024_08_01,CUS_0x2a45,0,30dpd_6mob,2025-02-01
CUS_0x2a46_2024_08_01,CUS_0x2a46,0,30dpd_6mob,2025-02-01
CUS_0x2a8c_2024_08_01,CUS_0x2a8c,0,30dpd_6mob,2025-02-01
CUS_0x2a8f_2024_08_01,CUS_0x2a8f,0,30dpd_6mob,2025-02-01
CUS_0x2abd_2024_08_01,CUS_0x2abd,0,30dpd_6mob,2025-02-01
CUS_0x2ae8_2024_08_01,CUS_0x2ae8,0,30dpd_6mob,2025-02-01
CUS_0x2b7a_2024_08_01,CUS_0x2b7a,1,30dpd_6mob,2025-02-01
CUS_0x2ba1_2024_08_01,CUS_0x2ba1,0,30dpd_6mob,2025-02-01
CUS_0x2ba4_2024_08_01,CUS_0x2ba4,1,30dpd_6mob,2025-02-01
CUS_0x2bb5_2024_08_01,CUS_0x2bb5,1,30dpd_6mob,2025-02-01
CUS_0x2bdc_2024_08_01,CUS_0x2bdc,1,30dpd_6mob,2025-02-01
CUS_0x2bf7_2024_08_01,CUS_0x2bf7,0,30dpd_6mob,2025-02-01
CUS_0x2c0a_2024_08_01,CUS_0x2c0a,0,30dpd_6mob,2025-02-01
CUS_0x2c15_2024_08_01,CUS_0x2c15,0,30dpd_6mob,2025-02-01
CUS_0x2c98_2024_08_01,CUS_0x2c98,0,30dpd_6mob,2025-02-01
CUS_0x2ce8_2024_08_01,CUS_0x2ce8,0,30dpd_6mob,2025-02-01
CUS_0x2d5a_2024_08_01,CUS_0x2d5a,1,30dpd_6mob,2025-02-01
CUS_0x2d6a_2024_08_01,CUS_0x2d6a,0,30dpd_6mob,2025-02-01
CUS_0x2da9_2024_08_01,CUS_0x2da9,0,30dpd_6mob,2025-02-01
CUS_0x2dfd_2024_08_01,CUS_0x2dfd,0,30dpd_6mob,2025-02-01
CUS_0x2e73_2024_08_01,CUS_0x2e73,1,30dpd_6mob,2025-02-01
CUS_0x2ef1_2024_08_01,CUS_0x2ef1,0,30dpd_6mob,2025-02-01
CUS_0x2f86_2024_08_01,CUS_0x2f86,0,30dpd_6mob,2025-02-01
CUS_0x2fc9_2024_08_01,CUS_0x2fc9,0,30dpd_6mob,2025-02-01
CUS_0x2fe7_2024_08_01,CUS_0x2fe7,1,30dpd_6mob,2025-02-01
CUS_0x3069_2024_08_01,CUS_0x3069,0,30dpd_6mob,2025-02-01
CUS_0x3092_2024_08_01,CUS_0x3092,0,30dpd_6mob,2025-02-01
CUS_0x30ee_2024_08_01,CUS_0x30ee,0,30dpd_6mob,2025-02-01
CUS_0x3182_2024_08_01,CUS_0x3182,0,30dpd_6mob,2025-02-01
CUS_0x319d_2024_08_01,CUS_0x319d,0,30dpd_6mob,2025-02-01
CUS_0x31ef_2024_08_01,CUS_0x31ef,0,30dpd_6mob,2025-02-01
CUS_0x31f8_2024_08_01,CUS_0x31f8,0,30dpd_6mob,2025-02-01
CUS_0x32a5_2024_08_01,CUS_0x32a5,0,30dpd_6mob,2025-02-01
CUS_0x32b1_2024_08_01,CUS_0x32b1,0,30dpd_6mob,2025-02-01
CUS_0x32e5_2024_08_01,CUS_0x32e5,0,30dpd_6mob,2025-02-01
CUS_0x334b_2024_08_01,CUS_0x334b,0,30dpd_6mob,2025-02-01
CUS_0x337d_2024_08_01,CUS_0x337d,1,30dpd_6mob,2025-02-01
CUS_0x342a_2024_08_01,CUS_0x342a,0,30dpd_6mob,2025-02-01
CUS_0x3499_2024_08_01,CUS_0x3499,1,30dpd_6mob,2025-02-01
CUS_0x3525_2024_08_01,CUS_0x3525,0,30dpd_6mob,2025-02-01
CUS_0x35e4_2024_08_01,CUS_0x35e4,1,30dpd_6mob,2025-02-01
CUS_0x35e9_2024_08_01,CUS_0x35e9,0,30dpd_6mob,2025-02-01
CUS_0x3639_2024_08_01,CUS_0x3639,0,30dpd_6mob,2025-02-01
CUS_0x372e_2024_08_01,CUS_0x372e,0,30dpd_6mob,2025-02-01
CUS_0x37bf_2024_08_01,CUS_0x37bf,0,30dpd_6mob,2025-02-01
CUS_0x384c_2024_08_01,CUS_0x384c,0,30dpd_6mob,2025-02-01
CUS_0x3855_2024_08_01,CUS_0x3855,0,30dpd_6mob,2025-02-01
CUS_0x387a_2024_08_01,CUS_0x387a,1,30dpd_6mob,2025-02-01
CUS_0x393f_2024_08_01,CUS_0x393f,1,30dpd_6mob,2025-02-01
CUS_0x396e_2024_08_01,CUS_0x396e,0,30dpd_6mob,2025-02-01
CUS_0x39b2_2024_08_01,CUS_0x39b2,1,30dpd_6mob,2025-02-01
CUS_0x39bf_2024_08_01,CUS_0x39bf,1,30dpd_6mob,2025-02-01
CUS_0x39ff_2024_08_01,CUS_0x39ff,0,30dpd_6mob,2025-02-01
CUS_0x3a3a_2024_08_01,CUS_0x3a3a,0,30dpd_6mob,2025-02-01
CUS_0x3afb_2024_08_01,CUS_0x3afb,0,30dpd_6mob,2025-02-01
CUS_0x3b37_2024_08_01,CUS_0x3b37,0,30dpd_6mob,2025-02-01
CUS_0x3b90_2024_08_01,CUS_0x3b90,0,30dpd_6mob,2025-02-01
CUS_0x3bc5_2024_08_01,CUS_0x3bc5,1,30dpd_6mob,2025-02-01
CUS_0x3c24_2024_08_01,CUS_0x3c24,0,30dpd_6mob,2025-02-01
CUS_0x3c39_2024_08_01,CUS_0x3c39,0,30dpd_6mob,2025-02-01
CUS_0x3c97_2024_08_01,CUS_0x3c97,0,30dpd_6mob,2025-02-01
CUS_0x3db1_2024_08_01,CUS_0x3db1,0,30dpd_6mob,2025-02-01
CUS_0x3e10_2024_08_01,CUS_0x3e10,1,30dpd_6mob,2025-02-01
CUS_0x3e74_2024_08_01,CUS_0x3e74,1,30dpd_6mob,2025-02-01
CUS_0x3e89_2024_08_01,CUS_0x3e89,0,30dpd_6mob,2025-02-01
CUS_0x3ec7_2024_08_01,CUS_0x3ec7,1,30dpd_6mob,2025-02-01
CUS_0x3f1_2024_08_01,CUS_0x3f1,0,30dpd_6mob,2025-02-01
CUS_0x3f27_2024_08_01,CUS_0x3f27,0,30dpd_6mob,2025-02-01
CUS_0x3f62_2024_08_01,CUS_0x3f62,1,30dpd_6mob,2025-02-01
CUS_0x3f94_2024_08_01,CUS_0x3f94,0,30dpd_6mob,2025-02-01
CUS_0x3fcd_2024_08_01,CUS_0x3fcd,0,30dpd_6mob,2025-02-01
CUS_0x3fee_2024_08_01,CUS_0x3fee,0,30dpd_6mob,2025-02-01
CUS_0x3ffe_2024_08_01,CUS_0x3ffe,0,30dpd_6mob,2025-02-01
CUS_0x4020_2024_08_01,CUS_0x4020,0,30dpd_6mob,2025-02-01
CUS_0x4037_2024_08_01,CUS_0x4037,0,30dpd_6mob,2025-02-01
CUS_0x4103_2024_08_01,CUS_0x4103,0,30dpd_6mob,2025-02-01
CUS_0x4143_2024_08_01,CUS_0x4143,1,30dpd_6mob,2025-02-01
CUS_0x416d_2024_08_01,CUS_0x416d,0,30dpd_6mob,2025-02-01
CUS_0x423c_2024_08_01,CUS_0x423c,0,30dpd_6mob,2025-02-01
CUS_0x4315_2024_08_01,CUS_0x4315,0,30dpd_6mob,2025-02-01
CUS_0x4330_2024_08_01,CUS_0x4330,0,30dpd_6mob,2025-02-01
CUS_0x43fc_2024_08_01,CUS_0x43fc,0,30dpd_6mob,2025-02-01
CUS_0x447b_2024_08_01,CUS_0x447b,1,30dpd_6mob,2025-02-01
CUS_0x449b_2024_08_01,CUS_0x449b,0,30dpd_6mob,2025-02-01
CUS_0x44aa_2024_08_01,CUS_0x44aa,0,30dpd_6mob,2025-02-01
CUS_0x44b0_2024_08_01,CUS_0x44b0,0,30dpd_6mob,2025-02-01
CUS_0x4544_2024_08_01,CUS_0x4544,0,30dpd_6mob,2025-02-01
CUS_0x45fc_2024_08_01,CUS_0x45fc,1,30dpd_6mob,2025-02-01
CUS_0x4695_2024_08_01,CUS_0x4695,0,30dpd_6mob,2025-02-01
CUS_0x46d1_2024_08_01,CUS_0x46d1,0,30dpd_6mob,2025-02-01
CUS_0x477d_2024_08_01,CUS_0x477d,0,30dpd_6mob,2025-02-01
CUS_0x47f9_2024_08_01,CUS_0x47f9,0,30dpd_6mob,2025-02-01
CUS_0x486d_2024_08_01,CUS_0x486d,0,30dpd_6mob,2025-02-01
CUS_0x4904_2024_08_01,CUS_0x4904,1,30dpd_6mob,2025-02-01
CUS_0x492e_2024_08_01,CUS_0x492e,0,30dpd_6mob,2025-02-01
CUS_0x49d3_2024_08_01,CUS_0x49d3,0,30dpd_6mob,2025-02-01
CUS_0x4a23_2024_08_01,CUS_0x4a23,0,30dpd_6mob,2025-02-01
CUS_0x4b11_2024_08_01,CUS_0x4b11,1,30dpd_6mob,2025-02-01
CUS_0x4bb_2024_08_01,CUS_0x4bb,0,30dpd_6mob,2025-02-01
CUS_0x4c3e_2024_08_01,CUS_0x4c3e,0,30dpd_6mob,2025-02-01
CUS_0x4c64_2024_08_01,CUS_0x4c64,0,30dpd_6mob,2025-02-01
CUS_0x4d0_2024_08_01,CUS_0x4d0,0,30dpd_6mob,2025-02-01
CUS_0x4d1b_2024_08_01,CUS_0x4d1b,0,30dpd_6mob,2025-02-01
CUS_0x4dba_2024_08_01,CUS_0x4dba,0,30dpd_6mob,2025-02-01
CUS_0x4e5f_2024_08_01,CUS_0x4e5f,0,30dpd_6mob,2025-02-01
CUS_0x4e80_2024_08_01,CUS_0x4e80,0,30dpd_6mob,2025-02-01
CUS_0x4e89_2024_08_01,CUS_0x4e89,0,30dpd_6mob,2025-02-01
CUS_0x4e97_2024_08_01,CUS_0x4e97,1,30dpd_6mob,2025-02-01
CUS_0x4ed2_2024_08_01,CUS_0x4ed2,0,30dpd_6mob,2025-02-01
CUS_0x4ee5_2024_08_01,CUS_0x4ee5,0,30dpd_6mob,2025-02-01
CUS_0x4f44_2024_08_01,CUS_0x4f44,0,30dpd_6mob,2025-02-01
CUS_0x4f70_2024_08_01,CUS_0x4f70,0,30dpd_6mob,2025-02-01
CUS_0x4f85_2024_08_01,CUS_0x4f85,1,30dpd_6mob,2025-02-01
CUS_0x4fcc_2024_08_01,CUS_0x4fcc,0,30dpd_6mob,2025-02-01
CUS_0x4fe9_2024_08_01,CUS_0x4fe9,1,30dpd_6mob,2025-02-01
CUS_0x4ffd_2024_08_01,CUS_0x4ffd,0,30dpd_6mob,2025-02-01
CUS_0x50c4_2024_08_01,CUS_0x50c4,0,30dpd_6mob,2025-02-01
CUS_0x511e_2024_08_01,CUS_0x511e,1,30dpd_6mob,2025-02-01
CUS_0x5129_2024_08_01,CUS_0x5129,1,30dpd_6mob,2025-02-01
CUS_0x5189_2024_08_01,CUS_0x5189,0,30dpd_6mob,2025-02-01
CUS_0x51ff_2024_08_01,CUS_0x51ff,0,30dpd_6mob,2025-02-01
CUS_0x5209_2024_08_01,CUS_0x5209,1,30dpd_6mob,2025-02-01
CUS_0x5234_2024_08_01,CUS_0x5234,0,30dpd_6mob,2025-02-01
CUS_0x529c_2024_08_01,CUS_0x529c,0,30dpd_6mob,2025-02-01
CUS_0x52d2_2024_08_01,CUS_0x52d2,0,30dpd_6mob,2025-02-01
CUS_0x535b_2024_08_01,CUS_0x535b,0,30dpd_6mob,2025-02-01
CUS_0x53eb_2024_08_01,CUS_0x53eb,0,30dpd_6mob,2025-02-01
CUS_0x5418_2024_08_01,CUS_0x5418,0,30dpd_6mob,2025-02-01
CUS_0x543d_2024_08_01,CUS_0x543d,1,30dpd_6mob,2025-02-01
CUS_0x54a3_2024_08_01,CUS_0x54a3,0,30dpd_6mob,2025-02-01
CUS_0x54bc_2024_08_01,CUS_0x54bc,0,30dpd_6mob,2025-02-01
CUS_0x54bd_2024_08_01,CUS_0x54bd,0,30dpd_6mob,2025-02-01
CUS_0x552_2024_08_01,CUS_0x552,0,30dpd_6mob,2025-02-01
CUS_0x5536_2024_08_01,CUS_0x5536,0,30dpd_6mob,2025-02-01
CUS_0x5540_2024_08_01,CUS_0x5540,1,30dpd_6mob,2025-02-01
CUS_0x5569_2024_08_01,CUS_0x5569,0,30dpd_6mob,2025-02-01
CUS_0x55e3_2024_08_01,CUS_0x55e3,1,30dpd_6mob,2025-02-01
CUS_0x55fb_2024_08_01,CUS_0x55fb,1,30dpd_6mob,2025-02-01
CUS_0x560d_2024_08_01,CUS_0x560d,0,30dpd_6mob,2025-02-01
CUS_0x5627_2024_08_01,CUS_0x5627,0,30dpd_6mob,2025-02-01
CUS_0x5640_2024_08_01,CUS_0x5640,0,30dpd_6mob,2025-02-01
CUS_0x564a_2024_08_01,CUS_0x564a,1,30dpd_6mob,2025-02-01
CUS_0x568_2024_08_01,CUS_0x568,1,30dpd_6mob,2025-02-01
CUS_0x5682_2024_08_01,CUS_0x5682,0,30dpd_6mob,2025-02-01
CUS_0x57a1_2024_08_01,CUS_0x57a1,0,30dpd_6mob,2025-02-01
CUS_0x57a7_2024_08_01,CUS_0x57a7,0,30dpd_6mob,2025-02-01
CUS_0x5845_2024_08_01,CUS_0x5845,1,30dpd_6mob,2025-02-01
CUS_0x58a3_2024_08_01,CUS_0x58a3,0,30dpd_6mob,2025-02-01
CUS_0x58ad_2024_08_01,CUS_0x58ad,0,30dpd_6mob,2025-02-01
CUS_0x5909_2024_08_01,CUS_0x5909,0,30dpd_6mob,2025-02-01
CUS_0x5933_2024_08_01,CUS_0x5933,0,30dpd_6mob,2025-02-01
CUS_0x5974_2024_08_01,CUS_0x5974,1,30dpd_6mob,2025-02-01
CUS_0x59a5_2024_08_01,CUS_0x59a5,0,30dpd_6mob,2025-02-01
CUS_0x5a04_2024_08_01,CUS_0x5a04,1,30dpd_6mob,2025-02-01
CUS_0x5aac_2024_08_01,CUS_0x5aac,0,30dpd_6mob,2025-02-01
CUS_0x5af1_2024_08_01,CUS_0x5af1,0,30dpd_6mob,2025-02-01
CUS_0x5b7c_2024_08_01,CUS_0x5b7c,0,30dpd_6mob,2025-02-01
CUS_0x5bd8_2024_08_01,CUS_0x5bd8,0,30dpd_6mob,2025-02-01
CUS_0x5c45_2024_08_01,CUS_0x5c45,0,30dpd_6mob,2025-02-01
CUS_0x5ce6_2024_08_01,CUS_0x5ce6,1,30dpd_6mob,2025-02-01
CUS_0x5d29_2024_08_01,CUS_0x5d29,1,30dpd_6mob,2025-02-01
CUS_0x5d5f_2024_08_01,CUS_0x5d5f,0,30dpd_6mob,2025-02-01
CUS_0x5d8b_2024_08_01,CUS_0x5d8b,0,30dpd_6mob,2025-02-01
