Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date,is_min_pay_only,min_pay_info_missing,credit_history_months,credit_history_years,dti
CUS_0x1108,117499.47,9780.6225,4,5,8.0,0.0,,10,8,8.32,4.0,Good,337.9,30.61812257306397,30 Years and 8 Months,No,0.0,334.39798,Low_spent_Medium_value_payments,923.66425,2024-07-01,0.0,0,368,30.666666,0.0028757576
CUS_0x13b5,17931.375,1633.28125,6,6,16.0,3.0,"Auto Loan, Not Specified, and Mortgage Loan",22,8,8.3,3.0,,51.82,30.06874117885965,16 Years and 11 Months,No,43.584583,160.95108,Low_spent_Small_value_payments,248.79247,2024-07-01,0.0,0,203,16.916666,0.0028899068
CUS_0x13b8,18341.47,1323.4558333333334,2,3,6.0,0.0,,4,6,5.93,6.0,Good,1300.64,38.68624106468091,18 Years and 5 Months,No,0.0,98.0649,Low_spent_Medium_value_payments,314.28067,2024-07-01,0.0,0,221,18.416666,0.070912525
CUS_0x144f,74346.44,6134.536666666668,7,10,25.0,8.0,"Not Specified, Credit-Builder Loan, Personal Loan, Debt Consolidation Loan, Not Specified, Home Equity Loan, Student Loan, and Credit-Builder Loan",62,18,6.52,15.0,,2684.09,30.231115801457506,10 Years and 4 Months,Yes,303.47327,77.594765,High_spent_Large_value_payments,472.38562,2024-07-01,1.0,0,124,10.333333,0.03610247
CUS_0x14ec,35180.42,2695.7016666666664,5,7,12.0,2.0,"Mortgage Loan, and Mortgage Loan",16,0,7.2,2.0,Good,33.8,32.76956004383627,25 Years and 8 Months,No,44.607162,209.2001,Low_spent_Large_value_payments,285.7629,2024-07-01,0.0,0,308,25.666666,0.0009607616
CUS_0x1595,30509.4,2321.4500000000007,5,7,8.0,4.0,"Debt Consolidation Loan, Not Specified, Mortgage Loan, and Mortgage Loan",7,14,10.95,6.0,,1496.06,24.82668374611937,20 Years and 5 Months,Yes,66.36792,102.29317,,343.48392,2024-07-01,1.0,0,245,20.416666,0.049036037
CUS_0x15ec,21487.836,1602.652916666667,1,2,6.0,3.0,"Home Equity Loan, Student Loan, and Not Specified",11,13,2.93,3.0,,425.9,30.099802242768284,25 Years and 6 Months,NM,41.006382,10000.0,Low_spent_Medium_value_payments,326.77112,2024-07-01,,1,306,25.5,0.019820515
CUS_0x16fd,10227.53,987.2941666666668,9,6,22.0,6.0,"Payday Loan, Mortgage Loan, Auto Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",24,20,2.38,8.0,,1610.77,36.60535915420492,8 Years and 4 Months,Yes,42.270733,124.96138,Low_spent_Medium_value_payments,262.11276,2024-07-01,1.0,0,100,8.333333,0.15749355
CUS_0x183d,7005.93,835.8275,10,7,30.0,6.0,"Student Loan, Payday Loan, Home Equity Loan, Payday Loan, Auto Loan, and Student Loan",21,9,8.49,9.0,Standard,1703.39,26.178696298320645,11 Years and 5 Months,NM,18.672909,92.4443,Low_spent_Small_value_payments,262.46555,2024-07-01,,1,137,11.416667,0.24313545
CUS_0x183e,19191.52,1872.293333333333,8,5,19.0,8.0,"Credit-Builder Loan, Personal Loan, Not Specified, Student Loan, Auto Loan, Home Equity Loan, Payday Loan, and Credit-Builder Loan",39,22,17.9,13.0,,2571.56,25.09971567358479,1 Years and 5 Months,Yes,105.27769,153.46143,Low_spent_Large_value_payments,198.49022,2024-07-01,1.0,0,17,1.4166666,0.13399461
CUS_0x1a56,16662.535,1464.544583333333,4,5,19.0,7.0,"Mortgage Loan, Student Loan, Payday Loan, Personal Loan, Credit-Builder Loan, Auto Loan, and Student Loan",21,17,13.17,6.0,,1384.8,23.184106554725275,11 Years and 4 Months,Yes,88.45541,76.98694,Low_spent_Small_value_payments,271.01212,2024-07-01,1.0,0,136,11.333333,0.083108604
CUS_0x1abe,14909.4,1177.45,6,7,24.0,2.0,"Not Specified, and Credit-Builder Loan",19,12,16.49,8.0,Standard,1992.2,23.21863897374731,11 Years and 6 Months,Yes,13.069308,101.370026,Low_spent_Small_value_payments,293.30566,2024-07-01,1.0,0,138,11.5,0.1336204
CUS_0x1b02,12743.995,1271.9995833333337,3,4,8.0,2.0,"Student Loan, and Personal Loan",28,12,7.22,6.0,Standard,998.95,26.198088970943843,24 Years and 2 Months,No,12.867268,46.82979,Low_spent_Medium_value_payments,347.5029,2024-07-01,0.0,0,290,24.166666,0.07838594
CUS_0x1b41,19910.51,1622.2091666666663,9,10,15.0,5.0,"Home Equity Loan, Payday Loan, Home Equity Loan, Mortgage Loan, and Auto Loan",59,24,,16.0,Bad,3957.01,31.604644410729488,6 Years and 2 Months,Yes,57.670715,23.60907,High_spent_Large_value_payments,320.94113,2024-07-01,1.0,0,74,6.1666665,0.19873977
CUS_0x1b85,36228.12,3105.01,3,7,3.0,2.0,"Credit-Builder Loan, and Not Specified",6,3,11.62,5.0,,1475.78,33.74617363989949,27 Years and 9 Months,No,39.04583,101.72433,Low_spent_Medium_value_payments,449.73083,2024-07-01,0.0,0,333,27.75,0.04073576
CUS_0x1bb7,9022.16,1045.8466666666668,6,9,23.0,7.0,"Payday Loan, Auto Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, Personal Loan, and Mortgage Loan",25,18,3.93,11.0,Bad,1682.25,22.495940042258724,12 Years and 0 Months,Yes,41.611206,135.93575,Low_spent_Small_value_payments,217.03772,2024-07-01,1.0,0,144,12.0,0.18645756
CUS_0x1c82,62719.36,5315.613333333334,1,7,1.0,2.0,"Payday Loan, and Student Loan",13,3,5.15,5.0,Good,73.8,32.786196535467674,30 Years and 5 Months,No,58.31564,264.17834,Low_spent_Small_value_payments,499.06735,2024-07-01,0.0,0,365,30.416666,0.0011766702
CUS_0x1cd5,80182.28,6684.856666666668,4,4,9.0,1.0,Home Equity Loan,7,8,3.9,4.0,Standard,645.51,41.855321452646216,32 Years and 3 Months,No,36.038956,171.17558,High_spent_Medium_value_payments,711.2711,2024-07-01,0.0,0,387,32.25,0.008050532
