loan_id,Customer_ID,label,label_def,snapshot_date
CUS_0x1087_2024_09_01,CUS_0x1087,0,30dpd_6mob,2025-03-01
CUS_0x1138_2024_09_01,CUS_0x1138,1,30dpd_6mob,2025-03-01
CUS_0x121b_2024_09_01,CUS_0x121b,1,30dpd_6mob,2025-03-01
CUS_0x1232_2024_09_01,CUS_0x1232,0,30dpd_6mob,2025-03-01
CUS_0x140e_2024_09_01,CUS_0x140e,1,30dpd_6mob,2025-03-01
CUS_0x1425_2024_09_01,CUS_0x1425,0,30dpd_6mob,2025-03-01
CUS_0x146a_2024_09_01,CUS_0x146a,0,30dpd_6mob,2025-03-01
CUS_0x14c2_2024_09_01,CUS_0x14c2,0,30dpd_6mob,2025-03-01
CUS_0x14f1_2024_09_01,CUS_0x14f1,1,30dpd_6mob,2025-03-01
CUS_0x14f6_2024_09_01,CUS_0x14f6,0,30dpd_6mob,2025-03-01
CUS_0x161b_2024_09_01,CUS_0x161b,0,30dpd_6mob,2025-03-01
CUS_0x165a_2024_09_01,CUS_0x165a,0,30dpd_6mob,2025-03-01
CUS_0x1691_2024_09_01,CUS_0x1691,0,30dpd_6mob,2025-03-01
CUS_0x16b6_2024_09_01,CUS_0x16b6,0,30dpd_6mob,2025-03-01
CUS_0x16ee_2024_09_01,CUS_0x16ee,1,30dpd_6mob,2025-03-01
CUS_0x1750_2024_09_01,CUS_0x1750,1,30dpd_6mob,2025-03-01
CUS_0x1768_2024_09_01,CUS_0x1768,0,30dpd_6mob,2025-03-01
CUS_0x17fc_2024_09_01,CUS_0x17fc,0,30dpd_6mob,2025-03-01
CUS_0x1821_2024_09_01,CUS_0x1821,1,30dpd_6mob,2025-03-01
CUS_0x1883_2024_09_01,CUS_0x1883,1,30dpd_6mob,2025-03-01
CUS_0x1884_2024_09_01,CUS_0x1884,0,30dpd_6mob,2025-03-01
CUS_0x18a2_2024_09_01,CUS_0x18a2,1,30dpd_6mob,2025-03-01
CUS_0x19a9_2024_09_01,CUS_0x19a9,0,30dpd_6mob,2025-03-01
