Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date,is_min_pay_only,min_pay_info_missing,credit_history_months,credit_history_years,dti
CUS_0x107e,75095.91,6269.9925,5.0,6,15.0,6.0,"Personal Loan, Payday Loan, Personal Loan, Student Loan, Home Equity Loan, and Payday Loan",9,10,20.53,8.0,Standard,989.71,24.21913739089471,12 Years and 0 Months,Yes,78446.0,10000.0,Low_spent_Medium_value_payments,234.06656,2024-11-01,1.0,0,144,12.0,0.013179281
CUS_0x10b3,136150.6,11127.883333333331,1.0,5,9.0,3.0,"Student Loan, Student Loan, and Auto Loan",10,3,10.72,3.0,,260.29,35.958594509030085,27 Years and 4 Months,NM,177.65407,1302.3574,Low_spent_Small_value_payments,898.3588,2024-11-01,,1,328,27.333334,0.0019117802
CUS_0x10df,9929.235,828.4362500000002,4.0,8,23.0,3.0,"Not Specified, Auto Loan, and Student Loan",16,18,11.5,14.0,Standard,2328.08,36.50926646104516,7 Years and 2 Months,Yes,18.120966,74.96443,Low_spent_Small_value_payments,260.91592,2024-11-01,1.0,0,86,7.1666665,0.23446721
CUS_0x10e7,64933.76,5368.1466666666665,3.0,3,33.0,,"Mortgage Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",15,19,13.04,11.0,Standard,2699.17,24.95863819730197,14 Years and 4 Months,Yes,193.69258,186.14667,High_spent_Medium_value_payments,406.97543,2024-11-01,1.0,0,172,14.333333,0.041568052
CUS_0x1144,135851.23,11418.936666666665,4.0,4,18.0,2.0,"Home Equity Loan, and Auto Loan",28,19,11.19,13.0,Standard,695.12,32.631874548192144,25 Years and 2 Months,Yes,206.55719,1139.0837,Low_spent_Medium_value_payments,76.25274,2024-11-01,1.0,0,302,25.166666,0.0051167733
CUS_0x1152,31316.47,2510.705833333333,0.0,2,6.0,2.0,"Payday Loan, and Personal Loan",13,5,5.44,1.0,Good,800.89,36.4516560517456,18 Years and 6 Months,No,26959.0,124.97679,High_spent_Small_value_payments,355.27182,2024-11-01,0.0,0,222,18.5,0.025574083
CUS_0x11ae,14550.52,1392.543333333333,7.0,10,25.0,9.0,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Personal Loan, Auto Loan, Home Equity Loan, Auto Loan, and Personal Loan",43,20,23.08,6.0,,4444.99,25.56948290194817,11 Years and 0 Months,Yes,95.91103,123.13871,Low_spent_Small_value_payments,210.20459,2024-11-01,1.0,0,132,11.0,0.3054867
CUS_0x1231,30739.3,2298.608333333333,4.0,4,13.0,6.0,"Student Loan, Personal Loan, Payday Loan, Payday Loan, Student Loan, and Student Loan",15,8,16.7,5.0,Standard,1365.58,23.40314239952093,18 Years and 2 Months,Yes,135.23814,106.45326,High_spent_Small_value_payments,248.16943,2024-11-01,1.0,0,218,18.166666,0.04442456
CUS_0x126d,34710.6,3170.55,6.0,3,20.0,,"Credit-Builder Loan, Payday Loan, Credit-Builder Loan, Student Loan, Payday Loan, Not Specified, and Mortgage Loan",22,10,14.76,10.0,Standard,1462.53,33.989022524206824,15 Years and 0 Months,Yes,197.10808,324.4624,Low_spent_Small_value_payments,85.48452,2024-11-01,1.0,0,180,15.0,0.042134967
CUS_0x127d,15096.85,1033.0708333333334,8.0,6,20.0,4.0,"Home Equity Loan, Home Equity Loan, Home Equity Loan, and Payday Loan",18,20,8.76,6.0,,1928.03,32.5165585073259,17 Years and 3 Months,Yes,35.31356,63.6686,High_spent_Small_value_payments,264.32492,2024-11-01,1.0,0,207,17.25,0.12771076
CUS_0x1298,102080.46,8299.705,5.0,6,10.0,4.0,"Personal Loan, Debt Consolidation Loan, Mortgage Loan, and Debt Consolidation Loan",17,15,11.17,1.0,Standard,89.98,33.24202401455771,24 Years and 4 Months,Yes,223.39903,412.59344,,453.978,2024-11-01,1.0,0,292,24.333334,0.00088146154
CUS_0x12a4,78094.28,6755.856666666668,10.0,7,15.0,5.0,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Auto Loan",62,19,6.92,12.0,Bad,1695.41,38.279828162989936,19 Years and 8 Months,Yes,270.6398,68.31523,High_spent_Large_value_payments,576.6306,2024-11-01,1.0,0,236,19.666666,0.021709785
CUS_0x138d,88069.62,7552.134999999998,162.0,7,5.0,3.0,"Payday Loan, Mortgage Loan, and Credit-Builder Loan",5,8,13.72,7.0,Good,1096.06,24.55571255159348,21 Years and 7 Months,No,151.48941,693.209,Low_spent_Small_value_payments,200.51509,2024-11-01,0.0,0,259,21.583334,0.012445383
